Where are you from?	How old are you?	What age did you start programming?	What gender are you?	What is your current employment status?	Do you code outside of work/studying?	What is the highest level of education you have completed?	What do you value most in a job? [Good salary]	What do you value most in a job? [Tech stack/language choice]	What do you value most in a job? [Remote work]	What do you value most in a job? [Team events/parties]	What do you value most in a job? [Healthcare benefits]	What do you value most in a job? [Vacation days]	What do you value most in a job? [Career progression]	What do you value most in a job? [Work hour flexibility]	What do you value most in a job? [Free food]	What do you value most in a job? [Commute time]	What motivates you to program?	Which language(s) have you worked with in your studies, during employment, or at home this year?	Which language(s) would you say you are most proficient in?	Which language(s) would you like to try this year?	If you work on personal projects, which of these best describes your approach?	What field(s) of programming are you interested in?	How did you find out about The Programmer's Hangout?	How long have you been a member of TPH?	What do you use TPH for?	What is the highest activity role you have? (The roles below are ordered highest first)	Have you ever been shidded?	What device(s) do you use for programming?	Which operating system do you use most often?	How many monitors do you use?	How often do you contribute to open source projects?	Why do you contribute to open source projects?	Which of these statements do you most align with?	Why have you not contributed to open source projects?	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The rules are clear and understandable]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The rules are reasonable]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The moderation is fair]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The moderation team communicate well]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [I like TPH's moderation style]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [I like the nickname policy]	Have you ever used Threads in TPH?	Do you have any other comments you'd like to give to the moderation team? This can include suggestions and complaints. If you have a complaint about how staff handle certain scenarios please give/link specific examples. We can't improve without examples.
Africa	13-17	< 13	Male	Student (full time)	Yes	Secondary/high school	Very important	Somewhat important	Requirement	Don't care	Somewhat important	Requirement	Very important	Very important	Don't care	Somewhat important	This information will be kept private.	Go, Other	Go, Other		I start a project but quickly lose motivation and usually don't complete a project	Mobile dev, Other	Other	1-2 years	Chatting with other programmers	Bepis-Drinker	Yes	Laptop	Mac	2	Less than once per month but more than once per year	To give back to the community, To improve my knowledge, To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Yes	This information will be kept private.
Europe	13-17	13 - 17	Male	Student (full time)	Yes	Rather not say	Very important	Very important	Don't care	Requirement	Requirement	Requirement	Somewhat important	Somewhat important	Very important	Somewhat important	This information will be kept private.	JavaScript, HTML, CSS, TypeScript	JavaScript	Python	I have lots of projects on the go. Switching between them keeps me motivated	Cyber security, Artificial Intelligence, Other	Discord server discovery	1-2 years	Getting help with programming problems, Lurking	I don't have a role :(		Laptop	Mac	1	Less than once per month but more than once per year	To give back to the community, To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly disagree	No, I didn't know they were enabled	This information will be kept private.
Asia	18-21	13 - 17	Male	Student (full time)	Yes	Secondary/high school	Requirement	Very important	Somewhat important	Somewhat important	Very important	Somewhat important	Very important	Somewhat important	Somewhat important	Somewhat important	This information will be kept private.	C++, Java, Python, C	Java, Python, C	JavaScript, Kotlin	I have lots of projects on the go. Switching between them keeps me motivated	Robotics, Game dev, Artificial Intelligence	Discord server discovery	1-2 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems	Super-Talky	No but I'd like to be	Laptop	Windows	1	Never			I don't feel comfortable with my ability, I can't find any projects that interest me	Somewhat	Somewhat	Somewhat	Somewhat	Somewhat	Strongly disagree	Yes	This information will be kept private.
Oceania	26-30	13 - 17	Male	Employed (full time)	Yes	Associate degree	Requirement	Very important	Somewhat important	Don't care	Don't care	Somewhat important	Very important	Don't care	Don't care	Somewhat important	This information will be kept private.	JavaScript, HTML, CSS, TypeScript, Haskell	JavaScript, HTML, CSS, TypeScript, Haskell	Rust	I need to have some collaborators in order to keep myself motivated	Robotics, Web dev, Data Science, Embedded Systems, Artificial Intelligence	Discord server discovery	1-2 years	Chatting with other programmers, Helping other programmers	Bepis-Drinker	No but I'd like to be	Laptop, Desktop	Linux	2	Less than once per year	To give back to the community, To improve my knowledge, To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Yes	This information will be kept private.
Europe	22-25	13 - 17	Male	Employed (part time)	Yes	Bachelor's degree	Very important	Somewhat important	Don't care	Very important	Somewhat important	Requirement	Requirement	Don't care	Requirement	Somewhat important	This information will be kept private.	JavaScript, Java, HTML, CSS, C#, Kotlin, TypeScript	Java, HTML, CSS, C#	C, Rust	I have lots of projects on the go. Switching between them keeps me motivated	Robotics, Web dev, Cyber security	Search engine result (google, duckduckgo, bing, yahoo, etc)	2-3 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems	Bepis-Drinker	Yes	Laptop, Desktop	Windows	3	Less than once per month but more than once per year	To give back to the community, To improve my knowledge, To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Somewhat	Somewhat	Strongly Agree	Strongly Agree	Strongly Agree	No	This information will be kept private.
Europe	26-30	< 13	Male	Student (full time)	Yes	Associate degree	Very important	Somewhat important	Somewhat important	Somewhat important	Don't care	Very important	Requirement	Very important	Somewhat important	Somewhat important	This information will be kept private.	JavaScript, Java, HTML, CSS, C#, PHP	C#		I start a project but quickly lose motivation and usually don't complete a project	Robotics, Embedded Systems, Game dev, Artificial Intelligence	Search engine result (google, duckduckgo, bing, yahoo, etc)	2-3 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems, Lurking	Super-Talky		Laptop, Desktop	Windows	2	Less than once per month but more than once per year	To give back to the community, To improve my knowledge	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	No	This information will be kept private.
Europe	22-25	13 - 17	Male	Rather not say	Yes	Secondary/high school	Somewhat important	Requirement	Somewhat important	Don't care	Somewhat important	Somewhat important	Very important	Very important	Don't care	Somewhat important	This information will be kept private.	JavaScript, Python, HTML, CSS, Rust	JavaScript, Python, HTML, CSS	C++, Rust, TypeScript, Go	I have lots of projects on the go. Switching between them keeps me motivated	Web dev, Embedded Systems, Cyber security, Artificial Intelligence, Other	Discord server discovery	1-2 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems	Conke-Commander	No but I'd like to be	Desktop	Windows	1	Several times per week	To improve my knowledge, To fix issues in libraries I use	I would like to contribute to more open source projects		Somewhat	Strongly Agree	Somewhat	Somewhat	Not sure	Strongly Agree	Yes	This information will be kept private.
Europe	22-25	13 - 17	Male	Employed (internship)	Yes	Secondary/high school	Requirement	Don't care	Somewhat important	Don't care	Requirement	Requirement	Requirement	Requirement	Requirement	Somewhat important	This information will be kept private.	C++, Java, Python, C	Java, Python, C	C++, Java, Python, C	I start a project but quickly lose motivation and usually don't complete a project	Fintech, Pharmaceuticals, Embedded Systems, Artificial Intelligence	Discord server discovery	0-1 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems, Lurking	Active	No but I'd like to be	Laptop, Desktop	Windows	3	Never			I don't have the time	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	No	This information will be kept private.
North America	22-25	< 13	Male	Rather not say	Yes	Bachelor's degree	Requirement	Somewhat important	Somewhat important	Don't care	Requirement	Very important	Very important	Somewhat important	Don't care	Very important	This information will be kept private.	C++, Java, C, C#, PHP, Kotlin	Java	Rust	I have lots of projects on the go. Switching between them keeps me motivated	Fintech, Pharmaceuticals, Robotics, Data Science, Embedded Systems, Cyber security, Testing, Artificial Intelligence	Search engine result (google, duckduckgo, bing, yahoo, etc)	1-2 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems, Lurking	Bepis-Drinker	Yes	Desktop	Linux	2	A least once per month	To give back to the community, To improve my knowledge, To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Somewhat	Strongly Agree	Somewhat	Strongly Agree	Strongly Agree	No	This information will be kept private.
Europe	18-21	< 13	Male	Student (full time)	Yes	Secondary/high school	Very important	Requirement	Very important	Somewhat important	Requirement	Requirement	Requirement	Requirement	Very important	Very important	This information will be kept private.	JavaScript, Python, C, HTML, CSS, C#, Rust, TypeScript, Assembly, Go	C++, Python, C, C#, Rust, Go	Haskell, Lua, Elixir	I have lots of projects on the go. Switching between them keeps me motivated	Robotics, Data Science, Embedded Systems, Artificial Intelligence	Discord server discovery	1-2 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems, Lurking	Super-Talky	Yes	Laptop	Linux	2	Several times per week	Other	I would like to contribute to more open source projects		Somewhat	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Yes	This information will be kept private.
Asia	26-30	< 13	Male	Employed (full time)	Yes	Rather not say	Somewhat important	Somewhat important		Somewhat important	Very important	Requirement	Requirement	Somewhat important	Don't care	Somewhat important	This information will be kept private.	JavaScript, C++, Python, HTML, CSS, C#, TypeScript, Other	C++, Python, C#	Haskell, Lua, Go	I have lots of projects on the go. Switching between them keeps me motivated	Robotics, Web dev, Mobile dev, Data Science, Embedded Systems, Cyber security, Game dev, Testing, Artificial Intelligence	Discord server discovery	0-1 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems	Chatterbox	No but I'd like to be	Laptop, Desktop, Mobile	Windows	2	Less than once per month but more than once per year	To give back to the community, To improve my knowledge, To fix issues in libraries I use	I would like to contribute to more open source projects		Not sure	Strongly Agree	Somewhat	Somewhat disagree	Strongly disagree	Not sure	Yes	This information will be kept private.
Europe	18-21	13 - 17	Male	Student (full time)	Yes	Secondary/high school	Somewhat important	Requirement	Very important	Very important	Requirement	Requirement	Don't care	Very important	Don't care	Very important	This information will be kept private.	JavaScript, C++, C, HTML, CSS, C#, PHP, Lua	C#	Kotlin, Rust, TypeScript	I start a project but quickly lose motivation and usually don't complete a project	Robotics, Web dev, Embedded Systems	Through a friend/colleague	3+ years	Chatting with other programmers, Helping other programmers, Getting help with programming problems	Conke-Commander	Yes	Laptop, Mobile	Windows	3	A least once per month	To give back to the community, To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Yes	This information will be kept private.
Europe	31-40	26+	Male	Self Employed (full time)	Yes	Master's degree	Requirement	Very important	Requirement	Don't care	Requirement	Requirement	Requirement	Requirement	Don't care	Requirement	This information will be kept private.	JavaScript, C, HTML, CSS, TypeScript	JavaScript, HTML, CSS	Python, Haskell	Other	Web dev	Discord server discovery	2-3 years	Chatting with other programmers, Getting help with programming problems	Bepis-Drinker		Laptop	Mac	2	Never			I don't feel comfortable with my ability	Strongly Agree	Strongly Agree	Somewhat	Strongly Agree	Strongly Agree	Strongly disagree	Yes	This information will be kept private.
